name,graph6
5K_{1} = \overline{K_{5}},D??
K_{5},D~{
\overline{K_{5}- e} = 5K_{1}+ e = K_{2}\cup 3K_{1},D?O
K_{5}- e,D~k
P_{3}\cup 2K_{1},Do?
\overline{P_{3}\cup 2K_{1}},DN{
\overline{W_{4}},DQ?
W_{4},Dl{
claw \cup K_{1},Ds?
\overline{claw \cup K_{1}},DJ{
P_{2}\cup P_{3},D`C
\overline{P_{2}\cup P_{3}},D]w
co-gem,DU?
gem = 3-fan,Dh{
K_{3}\cup 2K_{1},Dw?
\overline{K_{3}\cup 2K_{1}},DF{
"K_{1,4}",Ds_
"\overline{K_{1,4}} = K_{4}\cup K_{1}",DJ[
co-butterfly = C_{4}\cup K_{1},DBW
butterfly = hourglass,D{c
fork = chair,DiC
co-fork = kite = co-chair = \overline{chair},DTw
co-dart,DGw
dart,DvC
P_{5},DhC
house = \overline{P_{5}},DUw
"K_{2}\cup K_{3} = \overline{K_{2,3}}",D`K
"K_{2,3}",D]o
P = 4-pan = banner,DrG
\overline{P},DKs
bull,D{O
"cricket = K_{1,4}+e",DiS
co-cricket = diamond \cup K_{1},DTg
C_{5},Dhc
