name,graph6
2K_{1},A?
K_{2},A_
3K_{1} = co-triangle,B?
triangle = K_{3} = C_{3},Bw
\overline{P_{3}},BO
P_{3},Bg
4K_{1} = \overline{K_{4}},C?
K_{4} = W_{3},C~
co-diamond,CC
diamond = K_{4}- e = 2-fan,Cz
co-paw,CE
paw = 3-pan,Cx
2K_{2} = \overline{C_{4}},CK
"C_{4} = K_{2,2}",Cr
"claw = K_{1,3}",Cs
co-claw,CJ
P_{4},Ch
5K_{1} = \overline{K_{5}},D??
K_{5},D~{
\overline{K_{5}- e} = 5K_{1}+ e = K_{2}\cup 3K_{1},D?O
K_{5}- e,D~k
P_{3}\cup 2K_{1},Do?
\overline{P_{3}\cup 2K_{1}},DN{
\overline{W_{4}},DQ?
W_{4},Dl{
claw \cup K_{1},Ds?
\overline{claw \cup K_{1}},DJ{
P_{2}\cup P_{3},D`C
\overline{P_{2}\cup P_{3}},D]w
co-gem,DU?
gem = 3-fan,Dh{
K_{3}\cup 2K_{1},Dw?
\overline{K_{3}\cup 2K_{1}},DF{
"K_{1,4}",Ds_
"\overline{K_{1,4}} = K_{4}\cup K_{1}",DJ[
co-butterfly = C_{4}\cup K_{1},DBW
butterfly = hourglass,D{c
fork = chair,DiC
co-fork = kite = co-chair = \overline{chair},DTw
co-dart,DGw
dart,DvC
P_{5},DhC
house = \overline{P_{5}},DUw
"K_{2}\cup K_{3} = \overline{K_{2,3}}",D`K
"K_{2,3}",D]o
P = 4-pan = banner,DrG
\overline{P},DKs
bull,D{O
"cricket = K_{1,4}+e",DiS
co-cricket = diamond \cup K_{1},DTg
C_{5},Dhc
3K_{2},E`?G
\overline{3K_{2}},E]~o
X_{197} = P_{3}\cup\overline{P_{3}},EgC?
\overline{X_{197}},EVzw
P_{2}\cup P_{4},Eh?G
\overline{P_{2}\cup P_{4}},EU~o
2P_{3},EgCG
\overline{2P_{3}},EVzo
C_{4}\cup 2K_{1},El??
\overline{C_{4}\cup 2K_{1}},EQ~w
"K_{2}\cup claw = K_{2}\cup K_{1,3}",Es?G
\overline{K_{2}\cup claw},EJ~o
"cross = star_{1,1,1,2}",EiD?
co-cross,ETyw
H,EgSG
\overline{H},EVjo
C_{4}\cup P_{2},El?G
\overline{C_{4}\cup P_{2}},EQ~o
"E = star_{1,2,2}",EhC_
"\overline{E} = co-star_{1,2,2}",EUzW
K_{3}\cup P_{3},EWCW
"K_{3,3}+e",Efz_
X_{198} = \overline{P}\cup K_{1},EhK?
\overline{X_{198}},EUrw
P_{6},EhCG
\overline{P_{6}},EUzo
\overline{W_{5}} = C_{5}\cup K_{1},EUW?
W_{5},Ehfw
"X_{172} = star_{1,1,3}",EhCO
\overline{X_{172}},EUzg
co-fork \cup K_{1} = kite \cup K_{1},EDaW
\overline{co-fork \cup K_{1}} = \overline{kite \cup K_{1}},Ey\_
butterfly \cup K_{1},E{c?
\overline{butterfly \cup K_{1}},EBZw
co-4-fan,EUw?
4-fan,EhFw
A,EhSG
\overline{A},EUjo
R,ElCO
\overline{R},EQzg
