m,n,name,num_partitions,num_partitions_lb,num_partitions_ub
1,2,K_{2},2,2,2
3,3,triangle = K_{3} = C_{3},5,4,5
2,3,P_{3},4,4,5
6,4,K_{4} = W_{3},15,8,15
5,4,diamond = K_{4}- e = 2-fan,13,8,15
4,4,paw = 3-pan,10,8,15
4,4,"C_{4} = K_{2,2}",12,8,15
3,4,"claw = K_{1,3}",8,8,15
3,4,P_{4},8,8,15
10,5,K_{5},52,16,52
9,5,K_{5}- e,47,16,52
8,5,\overline{P_{3}\cup 2K_{1}},40,16,52
8,5,W_{4},43,16,52
7,5,\overline{claw \cup K_{1}},30,16,52
7,5,\overline{P_{2}\cup P_{3}},38,16,52
7,5,gem = 3-fan,34,16,52
7,5,\overline{K_{3}\cup 2K_{1}},35,16,52
4,5,"K_{1,4}",16,16,52
6,5,butterfly = hourglass,25,16,52
4,5,fork = chair,16,16,52
6,5,co-fork = kite = co-chair = \overline{chair},26,16,52
6,5,dart,26,16,52
4,5,P_{5},16,16,52
6,5,house = \overline{P_{5}},31,16,52
6,5,"K_{2,3}",34,16,52
5,5,P = 4-pan = banner,24,16,52
5,5,\overline{P},20,16,52
5,5,bull,20,16,52
5,5,"cricket = K_{1,4}+e",20,16,52
5,5,C_{5},27,16,52
12,6,\overline{3K_{2}},163,32,203
12,6,\overline{X_{197}},158,32,203
11,6,\overline{P_{2}\cup P_{4}},142,32,203
11,6,\overline{2P_{3}},146,32,203
11,6,\overline{C_{4}\cup 2K_{1}},125,32,203
11,6,\overline{K_{2}\cup claw},136,32,203
5,6,"cross = star_{1,1,1,2}",32,32,203
10,6,co-cross,94,32,203
5,6,H,32,32,203
10,6,\overline{H},107,32,203
10,6,\overline{C_{4}\cup P_{2}},121,32,203
5,6,"E = star_{1,2,2}",32,32,203
10,6,"\overline{E} = co-star_{1,2,2}",114,32,203
10,6,"K_{3,3}+e",136,32,203
10,6,\overline{X_{198}},116,32,203
5,6,P_{6},32,32,203
10,6,\overline{P_{6}},126,32,203
10,6,W_{5},118,32,203
5,6,"X_{172} = star_{1,1,3}",32,32,203
10,6,\overline{X_{172}},119,32,203
9,6,\overline{co-fork \cup K_{1}} = \overline{kite \cup K_{1}},92,32,203
9,6,\overline{butterfly \cup K_{1}},86,32,203
9,6,4-fan,89,32,203
6,6,A,48,32,203
9,6,\overline{A},89,32,203
6,6,R,48,32,203
9,6,\overline{R},80,32,203
9,6,"K_{3,3}",128,32,203
6,6,C_{6},58,32,203
9,6,\overline{C_{6}},114,32,203
6,6,\overline{X_{98}},40,32,203
9,6,X_{98} = twin_{3}-house,111,32,203
6,6,net = \overline{S_{3}},40,32,203
9,6,S_{3},89,32,203
6,6,X_{18},48,32,203
9,6,\overline{X_{18}},99,32,203
6,6,5-pan,54,32,203
9,6,\overline{5-pan},105,32,203
6,6,X_{166},40,32,203
9,6,\overline{X_{166}},101,32,203
6,6,X_{169},40,32,203
9,6,\overline{X_{169}},86,32,203
6,6,X_{84},48,32,203
9,6,\overline{X_{84}},95,32,203
6,6,X_{95},40,32,203
9,6,\overline{X_{95}},102,32,203
8,6,\overline{gem \cup K_{1}},68,32,203
7,6,\overline{W_{4}\cup K_{1}},50,32,203
7,6,X_{37},69,32,203
8,6,\overline{X_{37}},94,32,203
7,6,fish,60,32,203
8,6,co-fish,76,32,203
7,6,domino,74,32,203
8,6,co-domino,80,32,203
7,6,twin-C_{5},79,32,203
8,6,co-twin-C_{5} = \overline{twin-C_{5}},87,32,203
7,6,\overline{X_{58}},62,32,203
8,6,X_{58},68,32,203
7,6,"2K_{3}+ e = \overline{K_{3,3}-e}",50,32,203
8,6,"K_{3,3}-e",98,32,203
7,6,\overline{X_{5}},62,32,203
8,6,X_{5},81,32,203
7,6,antenna,62,32,203
8,6,co-antenna,80,32,203
7,6,X_{45},68,32,203
8,6,\overline{X_{45}},65,32,203
7,6,co-twin-house = \overline{twin-house},52,32,203
8,6,twin-house,83,32,203
7,6,X_{167},68,32,203
8,6,\overline{X_{167}},60,32,203
7,6,X_{168},52,32,203
8,6,\overline{X_{168}},70,32,203
7,6,X_{170},52,32,203
8,6,\overline{X_{170}},76,32,203
7,6,X_{171},52,32,203
8,6,\overline{X_{171}},89,32,203
7,6,X_{96},52,32,203
8,6,\overline{X_{96}},68,32,203
7,6,X_{163},50,32,203
8,6,\overline{X_{163}},76,32,203
18,7,\overline{claw \cup 3K_{1}},671,64,877
16,7,\overline{P_{3}\cup P_{4}},620,64,877
16,7,\overline{X_{177}},576,64,877
15,7,\overline{A \cup K_{1}},481,64,877
15,7,\overline{net \cup K_{1}},486,64,877
6,7,"T_{2} = star_{2,2,2}",64,64,877
15,7,\overline{T_{2}},526,64,877
6,7,P_{7},64,64,877
15,7,\overline{P_{7}},560,64,877
6,7,"star_{1,2,3} = skew-star",64,64,877
15,7,"\overline{star_{1,2,3}}",535,64,877
6,7,X_{85},64,64,877
15,7,\overline{X_{85}},529,64,877
15,7,\overline{claw \cup triangle},576,64,877
14,7,\overline{C_{4}\cup K_{3}},535,64,877
7,7,6-pan,116,64,877
14,7,\overline{6-pan},496,64,877
7,7,C_{7},121,64,877
14,7,\overline{C_{7}},513,64,877
7,7,\overline{X_{12}},80,64,877
14,7,X_{12},503,64,877
7,7,X_{41},108,64,877
14,7,\overline{X_{41}},466,64,877
7,7,longhorn,80,64,877
14,7,co-longhorn,483,64,877
7,7,X_{2},96,64,877
14,7,\overline{X_{2}},433,64,877
7,7,X_{6},96,64,877
14,7,\overline{X_{6}},467,64,877
7,7,X_{130},80,64,877
14,7,\overline{X_{130}},461,64,877
7,7,eiffeltower,80,64,877
14,7,co-eiffeltower,458,64,877
8,7,\overline{X_{11}},100,64,877
13,7,X_{11},479,64,877
8,7,X_{20},148,64,877
13,7,\overline{X_{20}},398,64,877
8,7,X_{38},165,64,877
13,7,\overline{X_{38}},421,64,877
8,7,X_{3},148,64,877
13,7,\overline{X_{3}},361,64,877
8,7,X_{7},120,64,877
13,7,\overline{X_{7}},447,64,877
8,7,X_{27},144,64,877
13,7,\overline{X_{27}},386,64,877
8,7,X_{30},124,64,877
13,7,\overline{X_{30}},393,64,877
8,7,X_{173},147,64,877
13,7,\overline{X_{173}},455,64,877
8,7,\overline{X_{175}},124,64,877
13,7,X_{175},338,64,877
8,7,\overline{X_{90}},181,64,877
13,7,X_{90},435,64,877
8,7,\overline{X_{106}},124,64,877
13,7,X_{106},416,64,877
8,7,X_{127},100,64,877
13,7,\overline{X_{127}},383,64,877
8,7,\overline{X_{128}},100,64,877
13,7,X_{128},415,64,877
8,7,X_{134},124,64,877
13,7,\overline{X_{134}},365,64,877
8,7,\overline{X_{162}},100,64,877
13,7,X_{162},316,64,877
12,7,"\overline{K_{3,3}\cup K_{1}}",225,64,877
9,7,\overline{X_{205}},155,64,877
12,7,X_{205},362,64,877
9,7,X_{206},156,64,877
12,7,\overline{X_{206}},361,64,877
9,7,X_{207},170,64,877
12,7,\overline{X_{207}},325,64,877
9,7,X_{212},193,64,877
12,7,\overline{X_{212}},331,64,877
12,7,\overline{S_{3}\cup K_{1}},287,64,877
9,7,\overline{X_{42}},197,64,877
12,7,X_{42},302,64,877
9,7,X_{32},162,64,877
12,7,\overline{X_{32}},308,64,877
9,7,X_{9},212,64,877
12,7,\overline{X_{9}},310,64,877
9,7,X_{8},191,64,877
